[2024/8/16 21:0:11] 物品:皮制手套	怪物:184849B0骷髅战士	地图:D001	X:322	Y:315 
[2024/8/16 21:1:27] 物品:魔法药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:魔法药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:魔法药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:37] 物品:钢手镯	怪物:0C2BB5D0骷髅战士	地图:D001	X:310	Y:332 
[2024/8/16 21:1:52] 物品:金创药(小量)	怪物:2261E4C0骷髅战士	地图:D001	X:139	Y:246 
[2024/8/16 21:1:56] 物品:金创药(小量)	怪物:18B8DD90僵尸3	地图:D401	X:141	Y:134 
[2024/8/16 21:2:19] 物品:魔法药(小量)	怪物:18166710骷髅战士	地图:D001	X:349	Y:305 
[2024/8/16 21:2:19] 物品:小手镯	怪物:18166710骷髅战士	地图:D001	X:349	Y:305 
[2024/8/16 21:2:57] 物品:魔法力药水	怪物:0DA8DEC0山洞蝙蝠	地图:D001	X:374	Y:320 
[2024/8/16 21:3:27] 物品:牛角戒指	怪物:18410370骷髅	地图:D001	X:370	Y:333 
[2024/8/16 21:3:31] 物品:金创药(小量)	怪物:17E66270僵尸3	地图:D401	X:147	Y:113 
[2024/8/16 21:3:32] 物品:金创药(小量)	怪物:17C323C0稻草人	地图:0	X:640	Y:518 
[2024/8/16 21:3:56] 物品:轻型盔甲(男)	怪物:03952710骷髅战士	地图:D001	X:36	Y:366 
[2024/8/16 21:3:58] 物品:魔法药(小量)	怪物:30D65A90骷髅战士	地图:D001	X:88	Y:365 
[2024/8/16 21:4:38] 物品:魔法药(小量)	怪物:1846A420骷髅战士	地图:D001	X:353	Y:235 
[2024/8/16 21:4:43] 物品:灵魂战衣(男)	怪物:2A822FD0黑野猪8	地图:H102	X:314	Y:50 
[2024/8/16 21:4:47] 物品:六角戒指	怪物:307B1C00骷髅战士	地图:D001	X:352	Y:234 
[2024/8/16 21:5:12] 物品:抗拒火环	怪物:17DB06A0僵尸3	地图:D413	X:24	Y:18 
[2024/8/16 21:5:21] 物品:金创药(小量)	怪物:0C2BE230骷髅战士	地图:D001	X:40	Y:381 
[2024/8/16 21:5:21] 物品:魔法药(小量)	怪物:0C2BE230骷髅战士	地图:D001	X:40	Y:381 
[2024/8/16 21:5:24] 物品:隐身术	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:灵魂火符	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:地狱火	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:半月	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:蓝色水晶戒指	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:琥珀项链	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:凤凰明珠	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:坚固手套	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:魔力手镯	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:24] 物品:金创药(小量)	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:26] 物品:铁手镯	怪物:17BF2500钉耙猫	地图:0	X:656	Y:516 
[2024/8/16 21:5:48] 物品:地狱火	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:半月	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:海魂	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:凤凰明珠	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:坚固手套	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:灯笼项链	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:魔法药(小量)	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:魔法药(小量)	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:48] 物品:魔法药(小量)	怪物:188020B0僵尸30	地图:D413	X:26	Y:16 
[2024/8/16 21:5:55] 物品:金创药(小量)	怪物:0643D390僵尸3	地图:D413	X:26	Y:15 
[2024/8/16 21:6:2] 物品:攻杀剑术	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:隐身术	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:大火球	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:灵魂火符	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:火球术	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:海魂	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:蓝色水晶戒指	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:凤凰明珠	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:金创药(小量)	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:2] 物品:金创药(小量)	怪物:188020B0僵尸30	地图:D413	X:25	Y:15 
[2024/8/16 21:6:24] 物品:金创药(小量)	怪物:1C4EE500骷髅战士	地图:D001	X:255	Y:337 
[2024/8/16 21:6:31] 物品:小手镯	怪物:30C9B190骷髅战士	地图:D001	X:92	Y:283 
[2024/8/16 21:6:31] 物品:魔法药(中量)	怪物:1E02CA50黑野猪0	地图:D711	X:240	Y:205 
[2024/8/16 21:6:31] 物品:魔法药(中量)	怪物:1E02CA50黑野猪0	地图:D711	X:240	Y:205 
[2024/8/16 21:6:35] 物品:金创药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:金创药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:金创药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:金创药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:魔法药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:魔法药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:魔法药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:35] 物品:魔法药(中量)	怪物:304D0A10骷髅战士0	地图:D001	X:245	Y:344 
[2024/8/16 21:6:41] 物品:灵魂火符	怪物:1C212E20僵尸3	地图:D413	X:25	Y:27 
[2024/8/16 21:6:57] 物品:金创药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:金创药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:金创药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:金创药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:魔法药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:魔法药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:魔法药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:57] 物品:魔法药(中量)	怪物:1875EEA0骷髅战士0	地图:D001	X:357	Y:253 
[2024/8/16 21:6:58] 物品:黑色水晶戒指	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:蛇眼戒指	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:白色虎齿项链	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:白金项链	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:骷髅戒指	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:海魂	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:凌风	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:魔鬼项链	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:琥珀项链	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:灯笼项链	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:太阳水	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:太阳水	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:太阳水	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:太阳水	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:金创药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:金创药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:金创药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:金创药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:魔法药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:魔法药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:魔法药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:6:58] 物品:魔法药(中量)	怪物:1E02F6B0黑色恶蛆0	地图:D711	X:244	Y:192 
[2024/8/16 21:7:14] 物品:银手镯	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:金创药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:金创药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:金创药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:金创药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:魔法药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:魔法药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:魔法药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:14] 物品:魔法药(小量)	怪物:062A32E0骷髅0	地图:D001	X:279	Y:360 
[2024/8/16 21:7:18] 物品:匕首	怪物:17C0B800钉耙猫	地图:0	X:657	Y:495 
[2024/8/16 21:7:25] 物品:金创药(小量)	怪物:192EB8A0僵尸3	地图:D413	X:34	Y:39 
[2024/8/16 21:7:25] 物品:魔法药(小量)	怪物:192EB8A0僵尸3	地图:D413	X:34	Y:39 
[2024/8/16 21:7:38] 物品:金创药(小量)	怪物:30E422A0山洞蝙蝠	地图:D001	X:347	Y:219 
[2024/8/16 21:7:38] 物品:魔法药(小量)	怪物:30E422A0山洞蝙蝠	地图:D001	X:347	Y:219 
[2024/8/16 21:8:1] 物品:金创药(小量)	怪物:06425A60僵尸3	地图:D413	X:34	Y:39 
[2024/8/16 21:8:3] 物品:重盔甲(男)	怪物:1E02E080黑野猪0	地图:D711	X:245	Y:185 
[2024/8/16 21:8:3] 物品:重盔甲(女)	怪物:1E02E080黑野猪0	地图:D711	X:245	Y:185 
[2024/8/16 21:8:3] 物品:战神盔甲(男)	怪物:1E02E080黑野猪0	地图:D711	X:245	Y:185 
[2024/8/16 21:8:3] 物品:魔法药(中量)	怪物:1E02E080黑野猪0	地图:D711	X:245	Y:185 
[2024/8/16 21:8:28] 物品:金创药(小量)	怪物:056AC520僵尸3	地图:D413	X:33	Y:40 
[2024/8/16 21:8:29] 物品:金创药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:金创药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:金创药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:金创药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:魔法药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:魔法药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:魔法药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:29] 物品:魔法药(小量)	怪物:039FCD20骷髅0	地图:D001	X:352	Y:205 
[2024/8/16 21:8:40] 物品:黑色水晶项链	怪物:184E3130骷髅	地图:D001	X:358	Y:197 
[2024/8/16 21:8:45] 物品:金创药(小量)	怪物:0385DFE0僵尸3	地图:D413	X:36	Y:40 
[2024/8/16 21:8:45] 物品:魔法药(小量)	怪物:0385DFE0僵尸3	地图:D413	X:36	Y:40 
[2024/8/16 21:8:54] 物品:金创药(小量)	怪物:18E97150山洞蝙蝠	地图:D001	X:323	Y:355 
[2024/8/16 21:9:3] 物品:金创药(小量)	怪物:056ADB50僵尸3	地图:D413	X:34	Y:39 
[2024/8/16 21:9:7] 物品:金创药(小量)	怪物:18E6B4A0骷髅战士	地图:D001	X:313	Y:362 
[2024/8/16 21:9:7] 物品:坚固手套	怪物:18E6B4A0骷髅战士	地图:D001	X:313	Y:362 
[2024/8/16 21:9:7] 物品:魔法力药水	怪物:18E6B4A0骷髅战士	地图:D001	X:313	Y:362 
[2024/8/16 21:9:49] 物品:金创药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:金创药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:金创药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:金创药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:魔法药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:魔法药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:魔法药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:魔法药(中量)	怪物:15CA3F50骷髅战士0	地图:D001	X:385	Y:190 
[2024/8/16 21:9:49] 物品:金创药(小量)	怪物:0385DFE0僵尸3	地图:D413	X:38	Y:25 
[2024/8/16 21:9:51] 物品:金创药(小量)	怪物:18FBA730僵尸3	地图:D413	X:42	Y:22 
[2024/8/16 21:10:2] 物品:金创药(小量)	怪物:0385DFE0僵尸3	地图:D413	X:39	Y:24 
[2024/8/16 21:10:2] 物品:攻击力药水	怪物:0385DFE0僵尸3	地图:D413	X:39	Y:24 
[2024/8/16 21:10:8] 物品:金创药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:金创药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:金创药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:金创药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:魔法药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:魔法药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:魔法药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:8] 物品:魔法药(中量)	怪物:1875D870骷髅战士0	地图:D001	X:381	Y:193 
[2024/8/16 21:10:9] 物品:金创药(小量)	怪物:1C22BD80僵尸3	地图:D413	X:54	Y:11 
[2024/8/16 21:10:15] 物品:金创药(小量)	怪物:1841F780骷髅战士	地图:D001	X:382	Y:193 
[2024/8/16 21:10:20] 物品:金创药(小量)	怪物:185B3F70山洞蝙蝠	地图:D001	X:381	Y:193 
[2024/8/16 21:10:20] 物品:金创药(小量)	怪物:05686B50僵尸3	地图:D413	X:55	Y:9 
[2024/8/16 21:10:45] 物品:魔法药(小量)	怪物:185729E0山洞蝙蝠	地图:D001	X:344	Y:354 
[2024/8/16 21:10:52] 物品:魔法药(小量)	怪物:1C1F4780僵尸3	地图:D413	X:75	Y:24 
[2024/8/16 21:11:0] 物品:魔法药(小量)	怪物:307FA2E0僵尸3	地图:D413	X:76	Y:23 
[2024/8/16 21:11:4] 物品:金创药(小量)	怪物:30CE75C0僵尸3	地图:D413	X:74	Y:25 
[2024/8/16 21:11:16] 物品:精灵头盔	怪物:183F1CD0巨型多角虫2	地图:Q003	X:11	Y:9 
[2024/8/16 21:11:22] 物品:金创药(小量)	怪物:185EB570山洞蝙蝠	地图:D001	X:385	Y:209 
[2024/8/16 21:11:24] 物品:魔法药(小量)	怪物:30CE75C0僵尸3	地图:D413	X:75	Y:25 
[2024/8/16 21:11:30] 物品:金创药(小量)	怪物:18AF2B90骷髅战士	地图:D001	X:284	Y:208 
[2024/8/16 21:11:47] 物品:回城卷	怪物:15B71DC0山洞蝙蝠	地图:D001	X:244	Y:309 
[2024/8/16 21:12:23] 物品:魔法药(小量)	怪物:19248180骷髅战士	地图:D001	X:323	Y:206 
[2024/8/16 21:12:24] 物品:金创药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:金创药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:金创药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:金创药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:魔法药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:魔法药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:魔法药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:24] 物品:魔法药(小量)	怪物:15CA6BB0骷髅0	地图:D001	X:135	Y:300 
[2024/8/16 21:12:32] 物品:金创药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:金创药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:金创药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:金创药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:魔法药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:魔法药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:魔法药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:32] 物品:魔法药(小量)	怪物:30CB13E0骷髅0	地图:D001	X:322	Y:206 
[2024/8/16 21:12:47] 物品:太阳水	怪物:038CFE00黑色恶蛆8	地图:H102	X:243	Y:147 
[2024/8/16 21:12:57] 物品:黄色水晶项链	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:玻璃戒指	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:金创药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:金创药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:金创药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:金创药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:魔法药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:魔法药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:魔法药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:12:57] 物品:魔法药(小量)	怪物:18753D20骷髅0	地图:D001	X:290	Y:269 
[2024/8/16 21:13:31] 物品:金创药(小量)	怪物:03802900僵尸3	地图:D402	X:23	Y:106 
[2024/8/16 21:13:40] 物品:魔法药(小量)	怪物:1BDF4E70僵尸3	地图:D402	X:25	Y:107 
[2024/8/16 21:13:40] 物品:火球术	怪物:1BDF4E70僵尸3	地图:D402	X:25	Y:107 
[2024/8/16 21:13:41] 物品:魔法药(小量)	怪物:185A4B60山洞蝙蝠	地图:D001	X:312	Y:293 
[2024/8/16 21:14:4] 物品:金创药(小量)	怪物:30E7D1C0山洞蝙蝠	地图:D001	X:245	Y:241 
[2024/8/16 21:14:4] 物品:魔法药(小量)	怪物:30E7D1C0山洞蝙蝠	地图:D001	X:245	Y:241 
[2024/8/16 21:14:10] 物品:精灵头盔	怪物:309393B0半兽勇士2	地图:Q002	X:9	Y:10 
[2024/8/16 21:14:11] 物品:大手镯	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:金创药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:金创药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:金创药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:金创药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:魔法药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:魔法药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:魔法药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:11] 物品:魔法药(中量)	怪物:0DAEE0B0骷髅战士0	地图:D001	X:358	Y:158 
[2024/8/16 21:14:36] 物品:金戒指	怪物:2A845A80黑野猪8	地图:H102	X:261	Y:68 
[2024/8/16 21:14:39] 物品:凤凰明珠	怪物:1D0B2210钳虫	地图:E603	X:27	Y:179 
[2024/8/16 21:14:46] 物品:金创药(小量)	怪物:15CA5580骷髅0	地图:D001	X:268	Y:285 
[2024/8/16 21:14:46] 物品:金创药(小量)	怪物:15CA5580骷髅0	地图:D001	X:268	Y:285 
[2024/8/16 21:14:46] 物品:金创药(小量)	怪物:15CA5580骷髅0	地图:D001	X:268	Y:285 
[2024/8/16 21:14:46] 物品:金创药(小量)	怪物:15CA5580骷髅0	地图:D001	X:268	Y:285 
[2024/8/16 21:14:46] 物品:魔法药(小量)	怪物:15CA5580骷髅0	地图:D001	X:268	Y:285 
