[2024/8/19 21:0:3] 物品:蛇眼戒指	怪物:0D725750祖玛卫士8	地图:H204	X:70	Y:75 
[2024/8/19 21:0:57] 物品:金创药(中量)	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:金创药(中量)	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:金创药(中量)	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:魔法药(中量)	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:魔法药(中量)	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:魔法药(中量)	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效金创药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效魔法药	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:1:2] 物品:强效太阳水	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效太阳水	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效太阳水	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效太阳水	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效太阳水	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效金创药	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效金创药	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效魔法药	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:强效魔法药	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:蛇眼戒指	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:生铁戒指	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:黑檀手镯	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:2] 物品:圣言术	怪物:27B4C3B0尸王8	地图:H201	X:179	Y:112 
[2024/8/19 21:1:5] 物品:强效魔法药	怪物:0624F8A0祖玛雕像	地图:H204	X:38	Y:38 
[2024/8/19 21:1:5] 物品:蓝色水晶戒指	怪物:2A395FE0祖玛卫士	地图:H204	X:38	Y:39 
[2024/8/19 21:1:5] 物品:强效太阳水	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效太阳水	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效太阳水	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效太阳水	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效太阳水	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效金创药	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效金创药	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效魔法药	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:强效魔法药	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:5] 物品:魔力手镯	怪物:2F2BDE70尸王8	地图:H201	X:183	Y:108 
[2024/8/19 21:1:6] 物品:强效魔法药	怪物:31F6C520祖玛卫士	地图:H204	X:36	Y:34 
[2024/8/19 21:1:8] 物品:魔法药(中量)	怪物:1C398200祖玛雕像	地图:H204	X:37	Y:35 
[2024/8/19 21:1:9] 物品:强效太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:太阳水	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:金创药(中量)	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:金创药(中量)	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效金创药	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效金创药	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:强效金创药	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:魔法药(中量)	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
[2024/8/19 21:1:9] 物品:魔法药(中量)	怪物:19080570沃玛卫士8	地图:H204	X:19	Y:39 
