[2024/8/20 10:0:1] 物品:金创药(中量)	怪物:1BD6CED0祖玛弓箭手	地图:H204	X:44	Y:43 
[2024/8/20 10:0:26] 物品:魔法长袍(男)	怪物:1C2C04D0祖玛卫士8	地图:H204	X:36	Y:34 
[2024/8/20 10:0:30] 物品:太阳水	怪物:2B329830祖玛雕像8	地图:H204	X:34	Y:32 
[2024/8/20 10:0:31] 物品:召唤骷髅	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:瞬息移动	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:抗拒火环	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:精神力战法	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:火球术	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:治愈术	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:基本剑术	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:31] 物品:魔法药(小量)	怪物:0DC5FF70僵尸40	地图:H201	X:65	Y:171 
[2024/8/20 10:0:47] 物品:强效太阳水	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效太阳水	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效太阳水	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效太阳水	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效太阳水	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效金创药	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效金创药	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效魔法药	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:强效魔法药	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:黑檀手镯	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:47] 物品:野蛮冲撞	怪物:2B4CED20尸王8	地图:H201	X:57	Y:168 
[2024/8/20 10:0:48] 物品:强效太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:太阳水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:金创药(中量)	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:金创药(中量)	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效金创药	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效金创药	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效金创药	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:魔法药(中量)	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:魔法药(中量)	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效魔法药	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效魔法药	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:强效魔法药	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:攻击神水	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:记忆头盔	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:野蛮冲撞	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:集体隐身术	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:48] 物品:雷电术	怪物:302CAA60沃玛卫士8	地图:H204	X:25	Y:33 
[2024/8/20 10:0:49] 物品:强效太阳水	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效太阳水	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效太阳水	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效太阳水	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效太阳水	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效金创药	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效金创药	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效魔法药	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:强效魔法药	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:黑色水晶戒指	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:道德戒指	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:黑檀手镯	怪物:2FB07710尸王8	地图:H201	X:57	Y:163 
[2024/8/20 10:0:49] 物品:隐身术	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:49] 物品:抗拒火环	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:49] 物品:精神力战法	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:49] 物品:火球术	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:49] 物品:治愈术	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:49] 物品:基本剑术	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:49] 物品:青铜斧	怪物:1E030CE0僵尸40	地图:H201	X:56	Y:167 
[2024/8/20 10:0:53] 物品:金创药(小量)	怪物:0D920BE0僵尸5	地图:H201	X:56	Y:166 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:太阳水	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:金创药(中量)	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:金创药(中量)	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:金创药(中量)	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:魔法药(中量)	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:魔法药(中量)	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:魔法药(中量)	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效金创药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:强效魔法药	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:金戒指	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:56] 物品:骷髅戒指	怪物:1E2DD720虹魔猪卫8	地图:H204	X:25	Y:27 
[2024/8/20 10:0:57] 物品:火球术	怪物:2D642900僵尸1	地图:H201	X:55	Y:172 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:太阳水	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:金创药(中量)	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:金创药(中量)	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:金创药(中量)	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:魔法药(中量)	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:魔法药(中量)	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:魔法药(中量)	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效金创药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:强效魔法药	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:0] 物品:降魔	怪物:1EEAF5B0白野猪8	地图:H204	X:25	Y:25 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:太阳水	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:金创药(中量)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:金创药(中量)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:金创药(中量)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:魔法药(中量)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:魔法药(中量)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:魔法药(中量)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效金创药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:强效魔法药	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:4] 物品:魔法长袍(女)	怪物:03223940白野猪8	地图:H204	X:25	Y:26 
[2024/8/20 10:1:5] 物品:魔法药(小量)	怪物:1918BA50山洞蝙蝠	地图:D021	X:22	Y:29 
[2024/8/20 10:1:6] 物品:金创药(小量)	怪物:1B17D390僵尸4	地图:H201	X:60	Y:178 
[2024/8/20 10:1:7] 物品:破魂	怪物:1FED5040祖玛雕像8	地图:H204	X:27	Y:25 
[2024/8/20 10:1:7] 物品:小手镯	怪物:1FED5040祖玛雕像8	地图:H204	X:27	Y:25 
[2024/8/20 10:1:10] 物品:隐身术	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:瞬息移动	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:抗拒火环	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:精神力战法	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:火球术	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:治愈术	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:基本剑术	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:10] 物品:魔鬼项链	怪物:1EA03670僵尸40	地图:H201	X:62	Y:181 
[2024/8/20 10:1:14] 物品:八荒	怪物:2E0F7E30祖玛雕像8	地图:H204	X:21	Y:24 
