[2024/8/21 0:0:0] 物品:魔法药(小量)	怪物:2334F420僵尸5	地图:H201	X:77	Y:73 
[2024/8/21 0:1:0] 物品:强效金创药	怪物:291C9100魔龙射手2	地图:66	X:50	Y:259 
[2024/8/21 0:1:2] 物品:强效太阳水	怪物:23E1CF20祖玛雕像8	地图:H204	X:49	Y:52 
[2024/8/21 0:1:7] 物品:灵魂战衣(女)	怪物:243FC7C0祖玛弓箭手8	地图:H204	X:47	Y:55 
[2024/8/21 0:1:7] 物品:琥珀项链	怪物:243FC7C0祖玛弓箭手8	地图:H204	X:47	Y:55 
[2024/8/21 0:1:11] 物品:魔法药(小量)	怪物:234858D0僵尸4	地图:H201	X:102	Y:107 
[2024/8/21 0:1:16] 物品:强效魔法药	怪物:245D1290祖玛雕像8	地图:H204	X:40	Y:58 
[2024/8/21 0:1:16] 物品:金创药(小量)	怪物:244355B0僵尸4	地图:H201	X:105	Y:111 
[2024/8/21 0:1:22] 物品:强效太阳水	怪物:258C1FE0牛魔将军0	地图:H010	X:361	Y:311 
[2024/8/21 0:1:22] 物品:强效太阳水	怪物:258C1FE0牛魔将军0	地图:H010	X:361	Y:311 
[2024/8/21 0:1:22] 物品:强效太阳水	怪物:258C1FE0牛魔将军0	地图:H010	X:361	Y:311 
[2024/8/21 0:1:22] 物品:太阳水	怪物:258C1FE0牛魔将军0	地图:H010	X:361	Y:311 
[2024/8/21 0:1:22] 物品:死神手套	怪物:258C1FE0牛魔将军0	地图:H010	X:361	Y:311 
[2024/8/21 0:1:22] 物品:骷髅戒指	怪物:258C1FE0牛魔将军0	地图:H010	X:361	Y:311 
[2024/8/21 0:1:28] 物品:太阳水	怪物:2C4BB830黑色恶蛆8	地图:H004	X:182	Y:132 
[2024/8/21 0:1:29] 物品:降魔	怪物:2ABD6430牛魔法师8	地图:H010	X:362	Y:318 
[2024/8/21 0:1:29] 物品:魔法长袍(男)	怪物:292478C0祖玛雕像8	地图:H204	X:53	Y:43 
[2024/8/21 0:1:29] 物品:灵魂战衣(女)	怪物:2AB1B450牛魔法师8	地图:H010	X:362	Y:320 
[2024/8/21 0:1:29] 物品:金手镯	怪物:2AB1B450牛魔法师8	地图:H010	X:362	Y:320 
[2024/8/21 0:1:30] 物品:强效金创药	怪物:2C0511E0魔龙刀兵1	地图:66	X:66	Y:256 
[2024/8/21 0:1:32] 物品:半月	怪物:24C0F1B0祖玛卫士8	地图:H204	X:54	Y:44 
[2024/8/21 0:1:32] 物品:魔鬼项链	怪物:24C0F1B0祖玛卫士8	地图:H204	X:54	Y:44 
[2024/8/21 0:1:35] 物品:蓝翡翠项链	怪物:25DDC560牛魔侍卫8	地图:H010	X:366	Y:324 
[2024/8/21 0:1:35] 物品:偃月	怪物:25DDC560牛魔侍卫8	地图:H010	X:366	Y:324 
[2024/8/21 0:1:37] 物品:强效太阳水	怪物:2AB8F310牛魔将军8	地图:H010	X:368	Y:321 
[2024/8/21 0:1:37] 物品:强效金创药	怪物:2AB8F310牛魔将军8	地图:H010	X:368	Y:321 
[2024/8/21 0:1:37] 物品:记忆头盔	怪物:2AB8F310牛魔将军8	地图:H010	X:368	Y:321 
[2024/8/21 0:1:38] 物品:金创药(小量)	怪物:23452830僵尸5	地图:H201	X:93	Y:122 
[2024/8/21 0:1:38] 物品:强效太阳水	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:38] 物品:强效太阳水	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:38] 物品:太阳水	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:38] 物品:太阳水	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:38] 物品:太阳水	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:38] 物品:龙之手镯	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:38] 物品:生铁戒指	怪物:2587A5A0牛魔将军0	地图:H010	X:366	Y:321 
[2024/8/21 0:1:44] 物品:强效太阳水	怪物:25D07E80牛魔祭司8	地图:H010	X:371	Y:326 
[2024/8/21 0:1:44] 物品:强效魔法药	怪物:25D07E80牛魔祭司8	地图:H010	X:371	Y:326 
[2024/8/21 0:1:44] 物品:生铁戒指	怪物:25D07E80牛魔祭司8	地图:H010	X:371	Y:326 
[2024/8/21 0:1:47] 物品:强效太阳水	怪物:2ACB36F0牛魔祭司8	地图:H010	X:369	Y:327 
[2024/8/21 0:1:47] 物品:强效魔法药	怪物:2ACB36F0牛魔祭司8	地图:H010	X:369	Y:327 
[2024/8/21 0:1:47] 物品:生命项链	怪物:2ACB36F0牛魔祭司8	地图:H010	X:369	Y:327 
[2024/8/21 0:1:49] 物品:强效魔法药	怪物:2AE1DF60牛魔法师8	地图:H010	X:373	Y:326 
[2024/8/21 0:1:53] 物品:强效金创药	怪物:28EB20B0魔龙战将	地图:66	X:66	Y:257 
[2024/8/21 0:1:53] 物品:强效太阳水	怪物:28EB20B0魔龙战将	地图:66	X:66	Y:257 
[2024/8/21 0:1:53] 物品:雷霆战靴	怪物:28EB20B0魔龙战将	地图:66	X:66	Y:257 
[2024/8/21 0:1:54] 物品:强效金创药	怪物:25B69B70牛魔法师8	地图:H010	X:372	Y:330 
[2024/8/21 0:1:54] 物品:生铁戒指	怪物:25B69B70牛魔法师8	地图:H010	X:372	Y:330 
[2024/8/21 0:1:54] 物品:白色虎齿项链	怪物:25B69B70牛魔法师8	地图:H010	X:372	Y:330 
[2024/8/21 0:1:57] 物品:强效太阳水	怪物:25C5D750牛魔将军8	地图:H010	X:371	Y:332 
[2024/8/21 0:1:57] 物品:强效太阳水	怪物:25C5D750牛魔将军8	地图:H010	X:371	Y:332 
[2024/8/21 0:1:57] 物品:死神手套	怪物:25C5D750牛魔将军8	地图:H010	X:371	Y:332 
[2024/8/21 0:1:57] 物品:强效魔法药	怪物:2A456FA0祖玛雕像8	地图:H204	X:68	Y:68 
[2024/8/21 0:1:58] 物品:强效太阳水	怪物:25984E40牛魔将军0	地图:H010	X:374	Y:329 
[2024/8/21 0:1:58] 物品:强效太阳水	怪物:25984E40牛魔将军0	地图:H010	X:374	Y:329 
[2024/8/21 0:1:58] 物品:太阳水	怪物:25984E40牛魔将军0	地图:H010	X:374	Y:329 
[2024/8/21 0:1:58] 物品:太阳水	怪物:25984E40牛魔将军0	地图:H010	X:374	Y:329 
[2024/8/21 0:1:58] 物品:蛇眼戒指	怪物:25984E40牛魔将军0	地图:H010	X:374	Y:329 
[2024/8/21 0:1:59] 物品:死神手套	怪物:2A40EDD0祖玛雕像8	地图:H204	X:68	Y:67 
[2024/8/21 0:2:1] 物品:降妖除魔戒指	怪物:28D69E20魔龙射手	地图:66	X:70	Y:258 
[2024/8/21 0:2:3] 物品:强效太阳水	怪物:2501E550祖玛卫士8	地图:H204	X:68	Y:68 
[2024/8/21 0:2:3] 物品:凌风	怪物:2501E550祖玛卫士8	地图:H204	X:68	Y:68 
[2024/8/21 0:2:3] 物品:道士手镯	怪物:2501E550祖玛卫士8	地图:H204	X:68	Y:68 
[2024/8/21 0:2:4] 物品:强效魔法药	怪物:2BD455F0牛魔法师8	地图:H010	X:371	Y:335 
[2024/8/21 0:2:5] 物品:金创药(小量)	怪物:28EC2D00僵尸4	地图:H201	X:82	Y:85 
[2024/8/21 0:2:7] 物品:强效太阳水	怪物:25993840牛魔祭司0	地图:H010	X:370	Y:337 
[2024/8/21 0:2:7] 物品:强效太阳水	怪物:25993840牛魔祭司0	地图:H010	X:370	Y:337 
[2024/8/21 0:2:7] 物品:太阳水	怪物:25993840牛魔祭司0	地图:H010	X:370	Y:337 
[2024/8/21 0:2:7] 物品:太阳水	怪物:25993840牛魔祭司0	地图:H010	X:370	Y:337 
[2024/8/21 0:2:7] 物品:魔法手镯	怪物:25993840牛魔祭司0	地图:H010	X:370	Y:337 
[2024/8/21 0:2:7] 物品:死神手套	怪物:25993840牛魔祭司0	地图:H010	X:370	Y:337 
[2024/8/21 0:2:9] 物品:黑檀手镯	怪物:2BC7DD60祖玛弓箭手8	地图:H204	X:70	Y:74 
[2024/8/21 0:2:15] 物品:强效太阳水	怪物:2B684C30牛魔将军8	地图:H010	X:364	Y:332 
[2024/8/21 0:2:17] 物品:攻杀剑术	怪物:2356FF00僵尸4	地图:H201	X:75	Y:82 
[2024/8/21 0:2:17] 物品:凤凰明珠	怪物:24C612E0祖玛卫士8	地图:H204	X:65	Y:82 
[2024/8/21 0:2:21] 物品:金戒指	怪物:2B5670F0牛魔侍卫8	地图:H010	X:359	Y:337 
[2024/8/21 0:2:21] 物品:竹笛	怪物:2B493440祖玛弓箭手8	地图:H204	X:63	Y:83 
[2024/8/21 0:2:25] 物品:重盔甲(男)	怪物:2461DE90跳跳蜂8	地图:H004	X:182	Y:113 
[2024/8/21 0:2:26] 物品:竹笛	怪物:24EC0C00祖玛弓箭手8	地图:H204	X:54	Y:93 
[2024/8/21 0:2:27] 物品:基本剑术	怪物:2A97D070僵尸1	地图:H201	X:80	Y:69 
[2024/8/21 0:2:27] 物品:道德戒指	怪物:25808760牛魔法师8	地图:H010	X:364	Y:343 
[2024/8/21 0:2:28] 物品:金手镯	怪物:25D5BD60牛魔法师8	地图:H010	X:363	Y:344 
[2024/8/21 0:2:31] 物品:金创药(小量)	怪物:2BABB9A0僵尸5	地图:H201	X:86	Y:72 
[2024/8/21 0:2:37] 物品:灵魂战衣(女)	怪物:25CD1EB0牛魔祭司8	地图:H010	X:353	Y:348 
[2024/8/21 0:2:38] 物品:半月	怪物:28D2F580祖玛卫士8	地图:H204	X:80	Y:74 
[2024/8/21 0:2:38] 物品:蓝翡翠项链	怪物:28D2F580祖玛卫士8	地图:H204	X:80	Y:74 
[2024/8/21 0:2:39] 物品:金创药(小量)	怪物:2C47B770僵尸4	地图:H201	X:92	Y:72 
[2024/8/21 0:2:39] 物品:强效太阳水	怪物:25CD7770牛魔祭司8	地图:H010	X:352	Y:347 
[2024/8/21 0:2:39] 物品:强效太阳水	怪物:25CD7770牛魔祭司8	地图:H010	X:352	Y:347 
[2024/8/21 0:2:39] 物品:气功波	怪物:28ED4D70魔龙战将	地图:66	X:71	Y:258 
[2024/8/21 0:2:40] 物品:强效太阳水	怪物:25ACE100牛魔将军0	地图:H010	X:352	Y:350 
[2024/8/21 0:2:40] 物品:太阳水	怪物:25ACE100牛魔将军0	地图:H010	X:352	Y:350 
[2024/8/21 0:2:40] 物品:修罗	怪物:25ACE100牛魔将军0	地图:H010	X:352	Y:350 
[2024/8/21 0:2:46] 物品:金手镯	怪物:25B1D8A0牛魔法师8	地图:H010	X:346	Y:345 
[2024/8/21 0:2:46] 物品:黑檀手镯	怪物:25B1D8A0牛魔法师8	地图:H010	X:346	Y:345 
[2024/8/21 0:2:51] 物品:强效太阳水	怪物:258C3610牛魔将军0	地图:H010	X:344	Y:343 
[2024/8/21 0:2:51] 物品:强效太阳水	怪物:258C3610牛魔将军0	地图:H010	X:344	Y:343 
[2024/8/21 0:2:51] 物品:思贝儿手镯	怪物:258C3610牛魔将军0	地图:H010	X:344	Y:343 
[2024/8/21 0:2:51] 物品:降魔	怪物:258C3610牛魔将军0	地图:H010	X:344	Y:343 
[2024/8/21 0:2:51] 物品:凝霜	怪物:258C3610牛魔将军0	地图:H010	X:344	Y:343 
[2024/8/21 0:2:55] 物品:强效金创药	怪物:2B623C90牛魔将军8	地图:H010	X:346	Y:346 
[2024/8/21 0:2:55] 物品:降魔	怪物:2B623C90牛魔将军8	地图:H010	X:346	Y:346 
[2024/8/21 0:2:55] 物品:修罗	怪物:2B623C90牛魔将军8	地图:H010	X:346	Y:346 
[2024/8/21 0:2:58] 物品:偃月	怪物:28F21B20祖玛雕像8	地图:H204	X:90	Y:47 
[2024/8/21 0:3:2] 物品:强效太阳水	怪物:23386750牛魔祭司0	地图:H010	X:342	Y:350 
[2024/8/21 0:3:2] 物品:强效太阳水	怪物:23386750牛魔祭司0	地图:H010	X:342	Y:350 
[2024/8/21 0:3:2] 物品:太阳水	怪物:23386750牛魔祭司0	地图:H010	X:342	Y:350 
[2024/8/21 0:3:2] 物品:道士头盔	怪物:23386750牛魔祭司0	地图:H010	X:342	Y:350 
[2024/8/21 0:3:2] 物品:道德戒指	怪物:23386750牛魔祭司0	地图:H010	X:342	Y:350 
[2024/8/21 0:3:6] 物品:金创药(中量)	怪物:247100A0僵尸1	地图:H201	X:99	Y:54 
[2024/8/21 0:3:9] 物品:强效太阳水	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:9] 物品:强效太阳水	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:9] 物品:太阳水	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:9] 物品:太阳水	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:9] 物品:太阳水	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:9] 物品:记忆头盔	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:9] 物品:降妖除魔戒指	怪物:257212C0牛魔祭司0	地图:H010	X:342	Y:355 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:太阳水	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:金创药(中量)	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:金创药(中量)	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效金创药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效金创药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效金创药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:魔法药(中量)	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:魔法药(中量)	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效魔法药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效魔法药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效魔法药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
[2024/8/21 0:3:10] 物品:强效金创药	怪物:246F6520邪恶钳虫8	地图:H004	X:174	Y:109 
