[2024/8/22 17:0:4] 物品:生铁戒指	怪物:242583F0祖玛雕像8	地图:H204	X:69	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:太阳水	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效金创药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:强效魔法药	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:蓝翡翠项链	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:26] 物品:生铁戒指	怪物:2513AA40虹魔蝎卫8	地图:H204	X:70	Y:27 
[2024/8/22 17:0:27] 物品:三眼手镯	怪物:24579310祖玛雕像83	地图:H008	X:52	Y:32 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:太阳水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:金创药(中量)	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:金创药(中量)	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:魔法药(中量)	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:魔法药(中量)	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效金创药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:强效魔法药	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:攻击神水	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:生命项链	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:躲避手链	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:28] 物品:集体隐身术	怪物:29E93E00邪恶钳虫8	地图:H004	X:112	Y:123 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:太阳水	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:金创药(中量)	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:金创药(中量)	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:金创药(中量)	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效金创药	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效金创药	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效金创药	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:魔法药(中量)	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:魔法药(中量)	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:魔法药(中量)	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
[2024/8/22 17:0:31] 物品:强效魔法药	怪物:13938BC0白野猪8	地图:H204	X:68	Y:25 
