[2024/8/19 17:0:2] 物品:道德戒指	怪物:2DD03840祖玛卫士8	地图:H204	X:36	Y:62 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:蛇眼戒指	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:13] 物品:魔法药(中量)	怪物:29C9DF80祖玛雕像8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:13] 物品:偃月	怪物:29C9DF80祖玛雕像8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:14] 物品:道德戒指	怪物:2A864120祖玛弓箭手8	地图:H204	X:33	Y:70 
[2024/8/19 17:0:17] 物品:祝福油	怪物:1833AE60跳跳蜂8	地图:H004	X:65	Y:84 
[2024/8/19 17:0:24] 物品:海魂	怪物:19F29120祖玛弓箭手8	地图:H204	X:21	Y:78 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:太阳水	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:金创药(中量)	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:金创药(中量)	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:金创药(中量)	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:魔法药(中量)	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:魔法药(中量)	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:魔法药(中量)	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效金创药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:51] 物品:强效魔法药	怪物:2C264C80白野猪8	地图:H204	X:21	Y:66 
[2024/8/19 17:0:53] 物品:生铁戒指	怪物:2358E9C0黑野猪8	地图:H002	X:82	Y:212 
[2024/8/19 17:1:6] 物品:白色虎齿项链	怪物:0DA34760蜈蚣	地图:D601	X:169	Y:210 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:太阳水	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:金创药(中量)	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:金创药(中量)	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:金创药(中量)	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:魔法药(中量)	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:魔法药(中量)	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:魔法药(中量)	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效金创药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:13] 物品:强效魔法药	怪物:2A7866F0白野猪8	地图:H204	X:8	Y:51 
[2024/8/19 17:1:15] 物品:强效金创药	怪物:1E088D50魔龙破甲兵	地图:66	X:199	Y:48 
[2024/8/19 17:1:15] 物品:道士手镯	怪物:1E088D50魔龙破甲兵	地图:66	X:199	Y:48 
[2024/8/19 17:1:24] 物品:魔法长袍(女)	怪物:061DF670跳跳蜂	地图:D601	X:175	Y:213 
[2024/8/19 17:1:24] 物品:蓝翡翠项链	怪物:061DF670跳跳蜂	地图:D601	X:175	Y:213 
[2024/8/19 17:1:24] 物品:蓝色水晶戒指	怪物:061DF670跳跳蜂	地图:D601	X:175	Y:213 
[2024/8/19 17:1:40] 物品:强效金创药	怪物:1E7B7F70祖玛弓箭手8	地图:H204	X:32	Y:29 
[2024/8/19 17:1:40] 物品:偃月	怪物:1E7B7F70祖玛弓箭手8	地图:H204	X:32	Y:29 
[2024/8/19 17:1:40] 物品:魔鬼项链	怪物:1E7B7F70祖玛弓箭手8	地图:H204	X:32	Y:29 
[2024/8/19 17:1:40] 物品:道德戒指	怪物:1E7B7F70祖玛弓箭手8	地图:H204	X:32	Y:29 
[2024/8/19 17:1:44] 物品:偃月	怪物:19C5A070祖玛弓箭手8	地图:H204	X:35	Y:26 
[2024/8/19 17:1:44] 物品:破魂	怪物:19C5A070祖玛弓箭手8	地图:H204	X:35	Y:26 
[2024/8/19 17:1:48] 物品:魔法长袍(男)	怪物:1B351310蝎蛇8	地图:H002	X:108	Y:244 
[2024/8/19 17:2:5] 物品:强效魔法药	怪物:28B14720魔龙战将	地图:66	X:198	Y:46 
[2024/8/19 17:2:5] 物品:强效太阳水	怪物:28B14720魔龙战将	地图:66	X:198	Y:46 
[2024/8/19 17:2:26] 物品:灵魂战衣(男)	怪物:30818980跳跳蜂8	地图:H004	X:73	Y:85 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:太阳水	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:金创药(中量)	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:金创药(中量)	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:金创药(中量)	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:魔法药(中量)	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:魔法药(中量)	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:魔法药(中量)	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效金创药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:强效魔法药	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:幽灵项链	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:52] 物品:骷髅戒指	怪物:1EA7BDC0白野猪8	地图:H204	X:63	Y:65 
[2024/8/19 17:2:58] 物品:灵魂战衣(男)	怪物:2DCC10C0祖玛卫士8	地图:H204	X:66	Y:67 
[2024/8/19 17:3:2] 物品:魔法药(中量)	怪物:18C25370祖玛雕像8	地图:H204	X:66	Y:67 
[2024/8/19 17:3:4] 物品:太阳水	怪物:1C95B260黑色恶蛆	地图:D601	X:209	Y:212 
[2024/8/19 17:3:6] 物品:魔法药(中量)	怪物:2DC7E940祖玛弓箭手8	地图:H204	X:71	Y:72 
[2024/8/19 17:3:10] 物品:金手镯	怪物:183D64A0祖玛弓箭手8	地图:H204	X:69	Y:73 
[2024/8/19 17:3:15] 物品:白金项链	怪物:24A2E9C0祖玛弓箭手8	地图:H204	X:75	Y:70 
[2024/8/19 17:3:18] 物品:战神油	怪物:1BDFBD60黑色恶蛆8	地图:H004	X:77	Y:93 
[2024/8/19 17:3:27] 物品:道士头盔	怪物:27CBC010黑野猪8	地图:H002	X:178	Y:276 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:太阳水	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:金创药(中量)	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:金创药(中量)	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:金创药(中量)	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:魔法药(中量)	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:魔法药(中量)	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:魔法药(中量)	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效魔法药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效魔法药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效魔法药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
[2024/8/19 17:3:28] 物品:强效金创药	怪物:2A873530白野猪8	地图:H204	X:69	Y:76 
