[2024/8/17 21:0:0] 物品:金创药(小量)	怪物:1A3F92A0僵尸5	地图:H201	X:34	Y:89 
[2024/8/17 21:0:13] 物品:强效魔法药	怪物:0DD57970虹魔蝎卫8	地图:H204	X:65	Y:34 
[2024/8/17 21:0:13] 物品:强效魔法药	怪物:0DD57970虹魔蝎卫8	地图:H204	X:65	Y:34 
[2024/8/17 21:0:13] 物品:强效魔法药	怪物:0DD57970虹魔蝎卫8	地图:H204	X:65	Y:34 
[2024/8/17 21:0:13] 物品:强效魔法药	怪物:0DD57970虹魔蝎卫8	地图:H204	X:65	Y:34 
[2024/8/17 21:0:13] 物品:强效魔法药	怪物:0DD57970虹魔蝎卫8	地图:H204	X:65	Y:34 
[2024/8/17 21:0:13] 物品:强效魔法药	怪物:0DD57970虹魔蝎卫8	地图:H204	X:65	Y:34 
[2024/8/17 21:0:13] 物品:金创药(小量)	怪物:1A3F92A0僵尸5	地图:H201	X:34	Y:89 
[2024/8/17 21:0:19] 物品:强效太阳水	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效太阳水	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效太阳水	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效太阳水	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效太阳水	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效金创药	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效金创药	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效魔法药	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:强效魔法药	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:骷髅戒指	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:19] 物品:圣言术	怪物:1EBD7D20尸王8	地图:H201	X:35	Y:89 
[2024/8/17 21:0:20] 物品:偃月	怪物:2AFA0370祖玛卫士8	地图:H204	X:67	Y:32 
[2024/8/17 21:0:20] 物品:金创药(小量)	怪物:1DEB41C0山洞蝙蝠	地图:D002	X:203	Y:294 
[2024/8/17 21:0:22] 物品:强效金创药	怪物:30708150祖玛卫士	地图:H204	X:67	Y:33 
[2024/8/17 21:0:27] 物品:强效太阳水	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效太阳水	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效太阳水	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效太阳水	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效太阳水	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效金创药	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效金创药	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效魔法药	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:强效魔法药	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:生铁戒指	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:27] 物品:魔力手镯	怪物:18CD82E0尸王8	地图:H201	X:29	Y:94 
[2024/8/17 21:0:33] 物品:魔法药(小量)	怪物:17BFADC0僵尸5	地图:H201	X:31	Y:93 
[2024/8/17 21:0:36] 物品:金创药(小量)	怪物:30D3B190僵尸5	地图:D406	X:165	Y:114 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:太阳水	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效金创药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:强效魔法药	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:虹魔手镯	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:38] 物品:死神手套	怪物:0522E500虹魔蝎卫8	地图:H204	X:65	Y:32 
[2024/8/17 21:0:40] 物品:强效太阳水	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效太阳水	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效太阳水	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效太阳水	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效太阳水	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效金创药	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效金创药	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效魔法药	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:强效魔法药	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:珍珠戒指	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:40] 物品:魔法盾	怪物:18B94C80尸王8	地图:H201	X:30	Y:95 
[2024/8/17 21:0:50] 物品:黑色水晶项链	怪物:280241C0骷髅战士	地图:D002	X:169	Y:280 
[2024/8/17 21:0:52] 物品:强效太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:太阳水	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:金创药(中量)	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:金创药(中量)	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效金创药	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效金创药	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效金创药	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:魔法药(中量)	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:魔法药(中量)	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效魔法药	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效魔法药	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:强效魔法药	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:无极棍	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:52] 物品:刺杀剑术	怪物:052472E0沃玛卫士8	地图:H204	X:77	Y:35 
[2024/8/17 21:0:54] 物品:强效太阳水	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效太阳水	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效太阳水	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效太阳水	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效太阳水	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效金创药	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效金创药	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效魔法药	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:强效魔法药	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:黑色水晶戒指	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:生铁戒指	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:蓝翡翠项链	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:54] 物品:黑檀手镯	怪物:286C9830尸王8	地图:H201	X:21	Y:91 
[2024/8/17 21:0:55] 物品:魔法药(小量)	怪物:19155A80僵尸4	地图:H201	X:21	Y:92 
[2024/8/17 21:0:56] 物品:施毒术	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:抗拒火环	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:精神力战法	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:火球术	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:治愈术	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:基本剑术	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:八荒	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:海魂	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:凌风	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:蓝色水晶戒指	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:琥珀项链	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:凤凰明珠	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:坚固手套	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:铁剑	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:短剑	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:轻型盔甲(男)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:轻型盔甲(女)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:青铜斧	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:黑檀项链	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:黄色水晶项链	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:黑色水晶项链	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:青铜头盔	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:金创药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:金创药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:金创药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:金创药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:魔法药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:魔法药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:魔法药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:魔法药(小量)	怪物:2CA22AF0僵尸50	地图:H201	X:22	Y:91 
[2024/8/17 21:0:56] 物品:强效金创药	怪物:24567260祖玛卫士	地图:H204	X:76	Y:34 
[2024/8/17 21:0:56] 物品:重盔甲(女)	怪物:24567260祖玛卫士	地图:H204	X:76	Y:34 
[2024/8/17 21:0:56] 物品:死神手套	怪物:24567260祖玛卫士	地图:H204	X:76	Y:34 
[2024/8/17 21:0:56] 物品:生铁戒指	怪物:24567260祖玛卫士	地图:H204	X:76	Y:34 
[2024/8/17 21:0:56] 物品:黑色水晶戒指	怪物:24567260祖玛卫士	地图:H204	X:76	Y:34 
[2024/8/17 21:0:59] 物品:治愈术	怪物:20711B00僵尸1	地图:D406	X:150	Y:127 
[2024/8/17 21:1:3] 物品:强效太阳水	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效太阳水	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效太阳水	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效太阳水	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效太阳水	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效金创药	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效金创药	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效魔法药	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:强效魔法药	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:魔力手镯	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:3] 物品:野蛮冲撞	怪物:2786A730尸王8	地图:H201	X:21	Y:92 
[2024/8/17 21:1:8] 物品:太阳水	怪物:1E0D39F0黑野猪8	地图:H002	X:211	Y:209 
[2024/8/17 21:1:13] 物品:魔法药(中量)	怪物:039A58D0骷髅战将	地图:D002	X:67	Y:190 
[2024/8/17 21:1:14] 物品:治愈术	怪物:057DCCD0僵尸5	地图:D406	X:149	Y:127 
[2024/8/17 21:1:22] 物品:强效太阳水	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效太阳水	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效太阳水	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效太阳水	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效太阳水	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效金创药	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效金创药	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效魔法药	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:强效魔法药	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:珊瑚戒指	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:22] 物品:死神手套	怪物:1B94D560尸王8	地图:H201	X:17	Y:99 
[2024/8/17 21:1:23] 物品:强效太阳水	怪物:30D38530沃玛卫士8	地图:H204	X:93	Y:53 
[2024/8/17 21:1:23] 物品:强效太阳水	怪物:30D38530沃玛卫士8	地图:H204	X:93	Y:53 
[2024/8/17 21:1:23] 物品:强效太阳水	怪物:30D38530沃玛卫士8	地图:H204	X:93	Y:53 
