[2024/8/22 16:0:1] 物品:白金项链	怪物:1780B140祖玛弓箭手8	地图:H204	X:40	Y:57 
[2024/8/22 16:1:6] 物品:强效魔法药	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效魔法药	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:蛇眼戒指	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:生铁戒指	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:凝霜	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:黑檀手镯	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:7] 物品:强效太阳水	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效太阳水	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效太阳水	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效太阳水	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效太阳水	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效金创药	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效金创药	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效魔法药	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:强效魔法药	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:黑色水晶戒指	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:生铁戒指	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:7] 物品:黑檀手镯	怪物:17A2F290尸王8	地图:H201	X:109	Y:183 
[2024/8/22 16:1:13] 物品:金创药(小量)	怪物:25CC9990僵尸3	地图:D401	X:106	Y:108 
[2024/8/22 16:1:17] 物品:金创药(小量)	怪物:1AB9A3C0稻草人	地图:0	X:625	Y:589 
[2024/8/22 16:1:23] 物品:金创药(小量)	怪物:2ABE2BE0僵尸4	地图:H201	X:110	Y:186 
[2024/8/22 16:1:23] 物品:强效太阳水	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效太阳水	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效太阳水	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效太阳水	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效太阳水	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效金创药	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效金创药	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效魔法药	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:强效魔法药	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:骷髅戒指	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:黑色水晶戒指	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:蛇眼戒指	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:凝霜	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:黑檀手镯	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:23] 物品:魔力手镯	怪物:244CDC80尸王8	地图:H201	X:110	Y:188 
[2024/8/22 16:1:25] 物品:金创药(小量)	怪物:1B2DB020僵尸4	地图:H201	X:107	Y:183 
[2024/8/22 16:1:37] 物品:强效太阳水	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效太阳水	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效太阳水	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效太阳水	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效太阳水	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效金创药	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效金创药	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效魔法药	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:强效魔法药	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:黑色水晶戒指	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:魅力戒指	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:魔力手镯	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:37] 物品:烈火剑法	怪物:13FA8F40尸王8	地图:H201	X:113	Y:186 
[2024/8/22 16:1:38] 物品:魔法药(小量)	怪物:2AB89840僵尸4	地图:H201	X:114	Y:189 
[2024/8/22 16:1:44] 物品:强效太阳水	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效太阳水	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效太阳水	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效太阳水	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效太阳水	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效金创药	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效金创药	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效魔法药	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:强效魔法药	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:44] 物品:魔力手镯	怪物:1ECC3DF0尸王8	地图:H201	X:112	Y:185 
[2024/8/22 16:1:53] 物品:金创药(小量)	怪物:27520A80僵尸5	地图:H201	X:118	Y:190 
[2024/8/22 16:1:53] 物品:集体隐身术	怪物:27520A80僵尸5	地图:H201	X:118	Y:190 
[2024/8/22 16:1:58] 物品:神圣战甲术	怪物:141FFEF0恶灵尸王	地图:H201	X:117	Y:192 
[2024/8/22 16:1:58] 物品:疾光电影	怪物:141FFEF0恶灵尸王	地图:H201	X:117	Y:192 
[2024/8/22 16:1:58] 物品:灵魂火符	怪物:141FFEF0恶灵尸王	地图:H201	X:117	Y:192 
[2024/8/22 16:1:58] 物品:大火球	怪物:141FFEF0恶灵尸王	地图:H201	X:117	Y:192 
[2024/8/22 16:2:2] 物品:金创药(小量)	怪物:2C518540僵尸3	地图:D401	X:98	Y:104 
[2024/8/22 16:2:3] 物品:强效太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:太阳水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:金创药(中量)	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:金创药(中量)	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效金创药	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效金创药	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效金创药	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:魔法药(中量)	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:魔法药(中量)	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效魔法药	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效魔法药	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:强效魔法药	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:攻击神水	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:琥珀项链	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:3] 物品:圣言术	怪物:22F19370沃玛卫士8	地图:H204	X:23	Y:21 
[2024/8/22 16:2:13] 物品:太阳水	怪物:236AD920黑色恶蛆8	地图:H004	X:89	Y:103 
[2024/8/22 16:2:22] 物品:重盔甲(女)	怪物:2D265760祖玛卫士8	地图:H204	X:19	Y:21 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:太阳水	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效金创药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:23] 物品:强效魔法药	怪物:28E76260虹魔蝎卫8	地图:H204	X:23	Y:23 
[2024/8/22 16:2:26] 物品:强效金创药	怪物:1374B4E0祖玛弓箭手8	地图:H204	X:25	Y:19 
[2024/8/22 16:3:10] 物品:强效太阳水	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效太阳水	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效太阳水	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效太阳水	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效太阳水	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效金创药	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效金创药	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效魔法药	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:强效魔法药	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:凝霜	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:10] 物品:黑檀手镯	怪物:2340DC50尸王8	地图:H201	X:68	Y:182 
[2024/8/22 16:3:12] 物品:神圣战甲术	怪物:1BCC8AD0僵尸1	地图:H201	X:66	Y:183 
[2024/8/22 16:3:18] 物品:魔法药(中量)	怪物:1E48F410祖玛卫士8	地图:H204	X:59	Y:60 
[2024/8/22 16:3:18] 物品:放大镜	怪物:1E48F410祖玛卫士8	地图:H204	X:59	Y:60 
[2024/8/22 16:3:18] 物品:魔法手镯	怪物:1E48F410祖玛卫士8	地图:H204	X:59	Y:60 
[2024/8/22 16:3:18] 物品:珊瑚戒指	怪物:1E48F410祖玛卫士8	地图:H204	X:59	Y:60 
[2024/8/22 16:3:28] 物品:珍珠戒指	怪物:2327A3F0祖玛弓箭手8	地图:H204	X:65	Y:66 
[2024/8/22 16:3:30] 物品:太阳水	怪物:232CC8B0僵尸5	地图:H201	X:69	Y:182 
[2024/8/22 16:3:32] 物品:魔法力药水	怪物:197D8F70僵尸5	地图:H201	X:73	Y:179 
[2024/8/22 16:3:39] 物品:凝霜	怪物:1ECB1D80祖玛卫士8	地图:H204	X:67	Y:65 
[2024/8/22 16:3:41] 物品:破魂	怪物:1413D5A0祖玛弓箭手8	地图:H204	X:70	Y:66 
[2024/8/22 16:3:51] 物品:强效太阳水	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效太阳水	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效太阳水	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效太阳水	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效太阳水	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效金创药	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效金创药	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效魔法药	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:强效魔法药	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:骷髅戒指	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:珍珠戒指	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:道德戒指	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:51] 物品:魔力手镯	怪物:29E03690尸王8	地图:H201	X:61	Y:164 
[2024/8/22 16:3:57] 物品:八荒	怪物:12967E40祖玛卫士8	地图:H204	X:69	Y:70 
[2024/8/22 16:3:57] 物品:魔法手镯	怪物:12967E40祖玛卫士8	地图:H204	X:69	Y:70 
[2024/8/22 16:3:57] 物品:道德戒指	怪物:12967E40祖玛卫士8	地图:H204	X:69	Y:70 
[2024/8/22 16:3:57] 物品:强效太阳水	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效太阳水	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效太阳水	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效太阳水	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效太阳水	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效金创药	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效金创药	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效魔法药	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:强效魔法药	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:黑檀手镯	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:3:57] 物品:魔力手镯	怪物:13974450尸王8	地图:H201	X:62	Y:162 
[2024/8/22 16:4:0] 物品:太阳水	怪物:28A88420祖玛弓箭手8	地图:H204	X:69	Y:72 
